ID,Name,Age,Nationality,Overall,Club
158023,L. Messi,31,Argentina,94,FC Barcelona
20801,Cristiano Ronaldo,33,Portugal,94,Juventus
190871,Neymar Jr,26,Brazil,92,Paris Saint-Germain
193080,De Gea,27,Spain,91,Manchester United
192985,K. De Bruyne,27,Belgium,91,Manchester City
183277,E. Hazard,27,Belgium,91,Chelsea
177003,L. Modrić,32,Croatia,91,Real Madrid
176580,L. Suárez,31,Uruguay,91,FC Barcelona
155862,Sergio Ramos,32,Spain,91,Real Madrid
200389,J. Oblak,25,Slovenia,90,Atlético Madrid
188545,R. Lewandowski,29,Poland,90,FC Bayern München
182521,T. Kroos,28,Germany,90,Real Madrid
182493,D. Godín,32,Uruguay,90,Atlético Madrid
168542,David Silva,32,Spain,90,Manchester City
215914,N. Kanté,27,France,89,Chelsea
211110,P. Dybala,24,Argentina,89,Juventus
202126,H. Kane,24,England,89,Tottenham Hotspur
194765,A. Griezmann,27,France,89,Atlético Madrid
192448,M. ter Stegen,26,Germany,89,FC Barcelona
192119,T. Courtois,26,Belgium,89,Real Madrid
189511,Sergio Busquets,29,Spain,89,FC Barcelona
179813,E. Cavani,31,Uruguay,89,Paris Saint-Germain
167495,M. Neuer,32,Germany,89,FC Bayern München
153079,S. Agüero,30,Argentina,89,Manchester City
138956,G. Chiellini,33,Italy,89,Juventus
231747,K. Mbappé,19,France,88,Paris Saint-Germain
209331,M. Salah,26,Egypt,88,Liverpool
200145,Casemiro,26,Brazil,88,Real Madrid
198710,J. Rodríguez,26,Colombia,88,FC Bayern München
198219,L. Insigne,27,Italy,88,Napoli
197781,Isco,26,Spain,88,Real Madrid
190460,C. Eriksen,26,Denmark,88,Tottenham Hotspur
189242,Coutinho,26,Brazil,88,FC Barcelona
188567,P. Aubameyang,29,Gabon,88,Arsenal
178603,M. Hummels,29,Germany,88,FC Bayern München
176676,Marcelo,30,Brazil,88,Real Madrid
173731,G. Bale,28,Wales,88,Real Madrid
167948,H. Lloris,31,France,88,Tottenham Hotspur
167664,G. Higuaín,30,Argentina,88,Milan
164240,Thiago Silva,33,Brazil,88,Paris Saint-Germain
162835,S. Handanovič,33,Slovenia,88,Inter
1179,G. Buffon,40,Italy,88,Paris Saint-Germain
205600,S. Umtiti,24,France,87,FC Barcelona
201399,M. Icardi,25,Argentina,87,Inter
201024,K. Koulibaly,27,Senegal,87,Napoli
195864,P. Pogba,25,France,87,Manchester United
193041,K. Navas,31,Costa Rica,87,Real Madrid
192505,R. Lukaku,25,Belgium,87,Manchester United
192387,C. Immobile,28,Italy,87,Lazio
189332,Jordi Alba,29,Spain,87,FC Barcelona
175943,D. Mertens,31,Belgium,87,Napoli
172871,J. Vertonghen,31,Belgium,87,Tottenham Hotspur
171877,M. Hamšík,30,Slovakia,87,Napoli
168651,I. Rakitić,30,Croatia,87,FC Barcelona
152729,Piqué,31,Spain,87,FC Barcelona
222492,L. Sané,22,Germany,86,Manchester City
218667,Bernardo Silva,23,Portugal,86,Manchester City
210257,Ederson,24,Brazil,86,Manchester City
208722,S. Mané,26,Senegal,86,Liverpool
203376,V. van Dijk,26,Netherlands,86,Liverpool
202652,R. Sterling,23,England,86,Manchester City
201942,Roberto Firmino,26,Brazil,86,Liverpool
201535,R. Varane,25,France,86,Real Madrid
199556,M. Verratti,25,Italy,86,Paris Saint-Germain
191043,Alex Sandro,27,Brazil,86,Juventus
190483,Douglas Costa,27,Brazil,86,Juventus
189596,T. Müller,28,Germany,86,FC Bayern München
189509,Thiago,27,Spain,86,FC Bayern München
188350,M. Reus,29,Germany,86,Borussia Dortmund
184432,Azpilicueta,28,Spain,86,Chelsea
184344,L. Bonucci,31,Italy,86,Juventus
184087,T. Alderweireld,29,Belgium,86,Tottenham Hotspur
180206,M. Pjanić,28,Bosnia Herzegovina,86,Juventus
177509,M. Benatia,31,Morocco,86,Juventus
176635,M. Özil,29,Germany,86,Arsenal
135507,Fernandinho,33,Brazil,86,Manchester City
41,Iniesta,34,Spain,86,Vissel Kobe
232363,M. Škriniar,23,Slovakia,85,Inter
223848,S. Milinković-Savić,23,Serbia,85,Lazio
220834,Marco Asensio,22,Spain,85,Real Madrid
216594,N. Fekir,24,France,85,Olympique Lyonnais
212831,Alisson,25,Brazil,85,Liverpool
212622,J. Kimmich,23,Germany,85,FC Bayern München
208421,Saúl,23,Spain,85,Atlético Madrid
204485,R. Mahrez,27,Algeria,85,Manchester City
197445,D. Alaba,26,Austria,85,FC Bayern München
193747,Koke,26,Spain,85,Atlético Madrid
193301,A. Lacazette,27,France,85,Arsenal
192774,K. Manolas,27,Greece,85,Roma
192366,N. Otamendi,30,Argentina,85,Manchester City
189513,Parejo,29,Spain,85,Valencia CF
187961,Paulinho,29,Brazil,85,Guangzhou Evergrande Taobao FC
186153,W. Szczęsny,28,Poland,85,Juventus
184941,A. Sánchez,29,Chile,85,Manchester United
184267,Y. Brahimi,28,Algeria,85,FC Porto
183907,J. Boateng,29,Germany,85,FC Bayern München
181872,A. Vidal,31,Chile,85,FC Barcelona
181458,I. Perišić,29,Croatia,85,Inter
180930,E. Džeko,32,Bosnia Herzegovina,85,Roma
179846,S. Khedira,31,Germany,85,Juventus
179844,Diego Costa,29,Spain,85,Atlético Madrid
178518,R. Nainggolan,30,Belgium,85,Inter
171919,Naldo,35,Brazil,85,FC Schalke 04
170890,B. Matuidi,31,France,85,Juventus
168609,Miranda,33,Brazil,85,Inter
165153,K. Benzema,30,France,85,Real Madrid
164169,Filipe Luís,32,Brazil,85,Atlético Madrid
139720,V. Kompany,32,Belgium,85,Manchester City
120533,Pepe,35,Portugal,85,Beşiktaş JK
41236,Z. Ibrahimović,36,Sweden,85,LA Galaxy
220793,D. Sánchez,22,Colombia,84,Tottenham Hotspur
216460,J. Giménez,23,Uruguay,84,Atlético Madrid
212462,Alex Telles,25,Brazil,84,FC Porto
212218,A. Laporte,24,France,84,Manchester City
212198,Bruno Fernandes,23,Portugal,84,Sporting CP
212190,N. Süle,22,Germany,84,FC Bayern München
211300,A. Martial,22,France,84,Manchester United
211117,D. Alli,22,England,84,Tottenham Hotspur
209499,Fabinho,24,Brazil,84,Liverpool
207865,Marquinhos,24,Brazil,84,Paris Saint-Germain
207566,William Carvalho,26,Portugal,84,Real Betis
205498,Jorginho,26,Italy,84,Chelsea
204970,F. Thauvin,25,France,84,Olympique de Marseille
204963,Carvajal,26,Spain,84,Real Madrid
202556,M. Depay,24,Netherlands,84,Olympique Lyonnais
200104,H. Son,25,Korea Republic,84,Tottenham Hotspur
199482,A. Lopes,27,Portugal,84,Olympique Lyonnais
198176,S. de Vrij,26,Netherlands,84,Inter
198009,M. Perin,25,Italy,84,Juventus
193082,J. Cuadrado,30,Colombia,84,Juventus
192629,Iago Aspas,30,Spain,84,RC Celta
192563,B. Leno,26,Germany,84,Arsenal
191202,N. Matić,29,Serbia,84,Manchester United
190941,L. Hrádecký,28,Finland,84,Bayer 04 Leverkusen
